vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,density
35855,Новокузнецк,Суши,104.0,4.0,2.0,0.018867924528301886
27837,Новосибирск,Суши,116.0,1.0,0.0,0.004291845493562232
13371,Новосибирск,Пицца,173.0,1.0,1.0,0.002881844380403458
3862,Новосибирск,Супы,244.0,4.0,2.0,0.008130081300813009
36886,Новосибирск,Мясо,33.0,1.0,1.0,0.014925373134328358
37431,Новосибирск,Суши,28.0,1.0,1.0,0.017543859649122806
34150,Новосибирск,Пицца,351.0,5.0,11.0,0.007072135785007072
37580,Новосибирск,Пицца,0.0,1.0,0.0,1.0
36418,Новосибирск,Пицца,72.0,1.0,0.0,0.006896551724137931
37843,Новосибирск,Русская,0.0,0.0,0.0,
37245,Новосибирск,Суши,87.0,2.0,1.0,0.011363636363636364
21954,Новосибирск,Китайская,355.0,2.0,4.0,0.0028089887640449437
37001,Новосибирск,Суши,32.0,0.0,0.0,0.0
29001,Новосибирск,Рыба,50.0,0.0,1.0,0.0
27835,Новосибирск,Суши,233.0,12.0,5.0,0.02510460251046025
12451,Омск,Пицца,29.0,0.0,3.0,0.0
7140,Омск,Суши,150.0,8.0,2.0,0.025974025974025976
9631,Омск,Суши,1.0,0.0,0.0,0.0
9578,Омск,Бургеры,80.0,5.0,2.0,0.030303030303030304
32802,Омск,Суши,306.0,2.0,1.0,0.003257328990228013
37806,Омск,Пироги,1.0,0.0,0.0,0.0
27854,Омск,Суши,115.0,6.0,4.0,0.025423728813559324
36167,Омск,Суши,1.0,0.0,1.0,0.0
37632,Омск,Грузинская,3.0,0.0,0.0,0.0
36589,Омск,Суши,20.0,1.0,0.0,0.024390243902439025
35558,Омск,Пицца,2.0,1.0,0.0,0.2
36817,Омск,Суши,127.0,1.0,0.0,0.00392156862745098
25655,Омск,Пироги,6.0,1.0,1.0,0.07692307692307693
9642,Омск,Бургеры,1.0,0.0,0.0,0.0
9292,Орел,Суши,251.0,7.0,12.0,0.0137524557956778
36225,Орел,Суши,321.0,2.0,4.0,0.003105590062111801
30204,Орел,Мясо,173.0,3.0,1.0,0.008595988538681949
26231,Орел,Японская,119.0,1.0,3.0,0.0041841004184100415
24126,Орел,Пицца,482.0,33.0,27.0,0.033099297893681046
12660,Орел,Шашлыки,42.0,1.0,0.0,0.011764705882352941
